label,source,toi,tid,target_id,period,depth,duration,kepid
1,TOI_Candidate,120.01,394137592.0,TIC394137592,11.535076,2389.90616,8.555958,
1,TOI_Candidate,1201.01,29960110.0,TIC29960110,2.4919771,2093.9594201,1.4338141,
1,TOI_Candidate,1203.01,23434737.0,TIC23434737,25.5195307,558.3758637,6.6877451,
1,TOI_Candidate,1204.01,467666275.0,TIC467666275,1.3812115,117.7553083,2.7372191,
1,TOI_Candidate,1205.01,287776397.0,TIC287776397,2.3922703,63.575141,9.0053425,
1,TOI_Candidate,1176.01,230088370.0,TIC230088370,14.0077666,5924.8349672,5.8727493,
1,TOI_Candidate,118.01,266980320.0,TIC266980320,6.0344667,1800.0,1.89,
1,TOI_Candidate,1180.01,158002130.0,TIC158002130,9.6867516,1669.0,2.512,
1,TOI_Candidate,1181.01,229510866.0,TIC229510866,2.1031647,7142.0,5.059,
1,TOI_Candidate,1184.01,233087860.0,TIC233087860,5.7484439,1041.0,1.76,
1,TOI_Candidate,1187.01,372757221.0,TIC372757221,2.5941968,907.0,0.861,
1,TOI_Candidate,1189.01,112026224.0,TIC112026224,3.9687994,1760.0,1.07,
1,TOI_Candidate,119.01,278683844.0,TIC278683844,5.5411114,633.0,2.467,
1,TOI_Candidate,119.02,278683844.0,TIC278683844,10.6917268,535.0,3.002,
1,TOI_Candidate,1139.01,202563254.0,TIC202563254,4.4780798,1054.0,4.513,
1,TOI_Candidate,114.01,25155310.0,TIC25155310,3.2887898,7005.7247902,3.4367717,
1,TOI_Candidate,1144.01,28230919.0,TIC28230919,4.8878037,4279.0,2.184,
1,TOI_Candidate,1148.01,349827430.0,TIC349827430,5.5514888,9493.0,4.335,
1,TOI_Candidate,115.01,281541555.0,TIC281541555,4.7423709,12650.8110411,2.4988145,
1,TOI_Candidate,1150.01,16740101.0,TIC16740101,1.4810903,6788.5145388,4.1588291,
1,TOI_Candidate,1151.01,69679391.0,TIC69679391,3.4741012,15748.0,3.317,
1,TOI_Candidate,1154.01,459970307.0,TIC459970307,21.745537,659.0,4.196,
1,TOI_Candidate,1231.01,447061717.0,TIC447061717,24.2454967,6260.6703602,3.3725583,
1,TOI_Candidate,1232.01,364395234.0,TIC364395234,14.2545623,7899.6939555,4.7250029,
1,TOI_Candidate,1233.01,260647166.0,TIC260647166,14.1758947,907.1324529,3.7543827,
1,TOI_Candidate,1233.02,260647166.0,TIC260647166,19.5901578,1182.6678641,4.002861,
1,TOI_Candidate,1233.03,260647166.0,TIC260647166,6.2036219,548.9044399,3.01098,
1,TOI_Candidate,1233.04,260647166.0,TIC260647166,3.79589,317.5272928,2.4602856,
1,TOI_Candidate,1235.01,103633434.0,TIC103633434,3.4447015,796.0,1.912,
1,TOI_Candidate,1236.01,120757718.0,TIC120757718,3.0300715,21794.6136956,2.5466671,
1,TOI_Candidate,1237.01,120960812.0,TIC120960812,12.72038,1070.0,2.401,
1,TOI_Candidate,1237.02,120960812.0,TIC120960812,6.238755,373.5681138,3.6178567,
1,TOI_Candidate,1238.01,153951307.0,TIC153951307,3.2947689,1324.0402774,1.7483103,
1,TOI_Candidate,1238.02,153951307.0,TIC153951307,0.7645807,394.9832006,1.07057,
1,TOI_Candidate,1239.01,154716798.0,TIC154716798,12.6396982,3292.6812864,3.3830702,
1,TOI_Candidate,1240.01,158170594.0,TIC158170594,1.7208555,10014.2587401,1.8346409,
1,TOI_Candidate,1207.01,364393429.0,TIC364393429,2.6282553,75.2858004,2.0930597,
1,TOI_Candidate,1208.01,273985865.0,TIC273985865,3.4239436,443.6391381,1.9601023,
1,TOI_Candidate,1208.02,273985865.0,TIC273985865,10.983042,725.1724567,3.7478987,
1,TOI_Candidate,1208.03,273985865.0,TIC273985865,17.726449,747.7725499,3.4404719,
1,TOI_Candidate,1209.01,30037565.0,TIC30037565,40.7199388,355.619391,4.2436925,
1,TOI_Candidate,1211.01,50312495.0,TIC50312495,18.1663644,624.0,2.464,
